Date,Open,High,Low,Close,AClose,Volume
"Dec 29, 2023",193.9,194.4,191.73,192.53,192.28,"42,628,800"
"Dec 28, 2023",194.14,194.66,193.17,193.58,193.33,"34,049,900"
"Dec 27, 2023",192.49,193.5,191.09,193.15,192.9,"48,087,700"
"Dec 26, 2023",193.61,193.89,192.83,193.05,192.8,"28,919,300"
"Dec 22, 2023",195.18,195.41,192.97,193.6,193.35,"37,122,800"
"Dec 21, 2023",196.1,197.08,193.5,194.68,194.43,"46,482,500"
"Dec 20, 2023",196.9,197.68,194.83,194.83,194.58,"52,242,800"
"Dec 19, 2023",196.16,196.95,195.89,196.94,196.69,"40,714,100"
"Dec 18, 2023",196.09,196.63,194.39,195.89,195.64,"55,751,900"
"Dec 15, 2023",197.53,198.4,197,197.57,197.32,"128,256,700"
"Dec 14, 2023",198.02,199.62,196.16,198.11,197.86,"66,831,600"
"Dec 13, 2023",195.09,198,194.85,197.96,197.71,"70,404,200"
"Dec 12, 2023",193.08,194.72,191.72,194.71,194.46,"52,696,900"
"Dec 11, 2023",193.11,193.49,191.42,193.18,192.93,"60,943,700"
"Dec 08, 2023",194.2,195.99,193.67,195.71,195.46,"53,377,300"
"Dec 07, 2023",193.63,195,193.59,194.27,194.02,"47,477,700"
"Dec 06, 2023",194.45,194.76,192.11,192.32,192.07,"41,089,700"
"Dec 05, 2023",190.21,194.4,190.18,193.42,193.17,"66,628,400"
"Dec 04, 2023",189.98,190.05,187.45,189.43,189.19,"43,389,500"
"Dec 01, 2023",190.33,191.56,189.23,191.24,191,"45,679,300"
"Nov 30, 2023",189.84,190.32,188.19,189.95,189.71,"48,794,400"
"Nov 29, 2023",190.9,192.09,188.97,189.37,189.13,"43,014,200"
"Nov 28, 2023",189.78,191.08,189.4,190.4,190.16,"38,415,400"
"Nov 27, 2023",189.92,190.67,188.9,189.79,189.55,"40,552,600"
"Nov 24, 2023",190.87,190.9,189.25,189.97,189.73,"24,048,300"
"Nov 22, 2023",191.49,192.93,190.83,191.31,191.07,"39,617,700"
"Nov 21, 2023",191.41,191.52,189.74,190.64,190.4,"38,134,500"
"Nov 20, 2023",189.89,191.91,189.88,191.45,191.21,"46,505,100"
"Nov 17, 2023",190.25,190.38,188.57,189.69,189.45,"50,922,700"
"Nov 16, 2023",189.57,190.96,188.65,189.71,189.47,"54,412,900"
"Nov 15, 2023",187.85,189.5,187.78,188.01,187.77,"53,790,500"
"Nov 14, 2023",187.7,188.11,186.3,187.44,187.2,"60,108,400"
"Nov 13, 2023",185.82,186.03,184.21,184.8,184.56,"43,627,500"
"Nov 10, 2023",183.97,186.57,183.53,186.4,186.16,"66,133,400"
"Nov 09, 2023",182.96,184.12,181.81,182.41,181.94,"53,763,500"
"Nov 08, 2023",182.35,183.45,181.59,182.89,182.42,"49,340,300"
"Nov 07, 2023",179.18,182.44,178.97,181.82,181.35,"70,530,000"
"Nov 06, 2023",176.38,179.43,176.21,179.23,178.77,"63,841,300"
"Nov 03, 2023",174.24,176.82,173.35,176.65,176.19,"79,763,700"
"Nov 02, 2023",175.52,177.78,175.46,177.57,177.11,"77,334,800"
"Nov 01, 2023",171,174.23,170.12,173.97,173.52,"56,934,900"
"Oct 31, 2023",169.35,170.9,167.9,170.77,170.33,"44,846,000"
"Oct 30, 2023",169.02,171.17,168.87,170.29,169.85,"51,131,000"
"Oct 27, 2023",166.91,168.96,166.83,168.22,167.78,"58,499,100"
"Oct 26, 2023",170.37,171.38,165.67,166.89,166.46,"70,625,300"
"Oct 25, 2023",171.88,173.06,170.65,171.1,170.66,"57,157,000"
"Oct 24, 2023",173.05,173.67,171.45,173.44,172.99,"43,816,600"
"Oct 23, 2023",170.91,174.01,169.93,173,172.55,"55,980,100"
"Oct 20, 2023",175.31,175.42,172.64,172.88,172.43,"64,189,300"
"Oct 19, 2023",176.04,177.84,175.19,175.46,175.01,"59,302,900"
"Oct 18, 2023",175.58,177.58,175.11,175.84,175.38,"54,764,400"
"Oct 17, 2023",176.65,178.42,174.8,177.15,176.69,"57,549,400"
"Oct 16, 2023",176.75,179.08,176.51,178.72,178.26,"52,517,000"
"Oct 13, 2023",181.42,181.93,178.14,178.85,178.39,"51,427,100"
"Oct 12, 2023",180.07,182.34,179.04,180.71,180.24,"56,743,100"
"Oct 11, 2023",178.2,179.85,177.6,179.8,179.33,"47,551,100"
"Oct 10, 2023",178.1,179.72,177.95,178.39,177.93,"43,698,000"
"Oct 09, 2023",176.81,179.05,175.8,178.99,178.53,"42,390,800"
"Oct 06, 2023",173.8,177.99,173.18,177.49,177.03,"57,224,100"
"Oct 05, 2023",173.79,175.45,172.68,174.91,174.46,"48,527,900"
"Oct 04, 2023",171.09,174.21,170.97,173.66,173.21,"53,020,300"
"Oct 03, 2023",172.26,173.63,170.82,172.4,171.95,"49,594,600"
"Oct 02, 2023",171.22,174.3,170.93,173.75,173.3,"52,164,500"
"Sep 29, 2023",172.02,173.07,170.34,171.21,170.77,"51,814,200"
"Sep 28, 2023",169.34,172.03,167.62,170.69,170.25,"56,294,400"
"Sep 27, 2023",172.62,173.04,169.05,170.43,169.99,"66,921,800"
"Sep 26, 2023",174.82,175.2,171.66,171.96,171.51,"64,588,900"
"Sep 25, 2023",174.2,176.97,174.15,176.08,175.62,"46,172,700"
"Sep 22, 2023",174.67,177.08,174.05,174.79,174.34,"56,725,400"
"Sep 21, 2023",174.55,176.3,173.86,173.93,173.48,"63,047,900"
"Sep 20, 2023",179.26,179.7,175.4,175.49,175.04,"58,436,200"
"Sep 19, 2023",177.52,179.63,177.13,179.07,178.61,"51,826,900"
"Sep 18, 2023",176.48,179.38,176.17,177.97,177.51,"67,257,600"
"Sep 15, 2023",176.48,176.5,173.82,175.01,174.56,"109,205,100"
"Sep 14, 2023",174,176.1,173.58,175.74,175.29,"60,895,800"
"Sep 13, 2023",176.51,177.3,173.98,174.21,173.76,"84,267,900"
"Sep 12, 2023",179.49,180.13,174.82,176.3,175.84,"90,370,200"
"Sep 11, 2023",180.07,180.3,177.34,179.36,178.9,"58,953,100"
"Sep 08, 2023",178.35,180.24,177.79,178.18,177.72,"65,551,300"
"Sep 07, 2023",175.18,178.21,173.54,177.56,177.1,"112,488,800"
"Sep 06, 2023",188.4,188.85,181.47,182.91,182.44,"81,755,800"
"Sep 05, 2023",188.28,189.98,187.61,189.7,189.21,"45,280,000"
"Sep 01, 2023",189.49,189.92,188.28,189.46,188.97,"45,732,600"
"Aug 31, 2023",187.84,189.12,187.48,187.87,187.38,"60,794,500"
"Aug 30, 2023",184.94,187.85,184.74,187.65,187.16,"60,813,900"
"Aug 29, 2023",179.7,184.9,179.5,184.12,183.64,"53,003,900"
"Aug 28, 2023",180.09,180.59,178.55,180.19,179.72,"43,820,700"
"Aug 25, 2023",177.38,179.15,175.82,178.61,178.15,"51,449,600"
"Aug 24, 2023",180.67,181.1,176.01,176.38,175.92,"54,945,800"
"Aug 23, 2023",178.52,181.55,178.33,181.12,180.65,"52,722,800"
"Aug 22, 2023",177.06,177.68,176.25,177.23,176.77,"42,084,200"
"Aug 21, 2023",175.07,176.13,173.74,175.84,175.38,"46,311,900"
"Aug 18, 2023",172.3,175.1,171.96,174.49,174.04,"61,114,200"
"Aug 17, 2023",177.14,177.51,173.48,174,173.55,"66,062,900"
"Aug 16, 2023",177.13,178.54,176.5,176.57,176.11,"46,964,900"
"Aug 15, 2023",178.88,179.48,177.05,177.45,176.99,"43,622,600"
"Aug 14, 2023",177.97,179.69,177.31,179.46,179,"43,675,600"
"Aug 11, 2023",177.32,178.62,176.55,177.79,177.33,"51,988,100"
"Aug 10, 2023",179.48,180.75,177.6,177.97,177.27,"54,686,900"
"Aug 09, 2023",180.87,180.93,177.01,178.19,177.49,"60,378,500"
"Aug 08, 2023",179.69,180.27,177.58,179.8,179.09,"67,823,000"
"Aug 07, 2023",182.13,183.13,177.35,178.85,178.15,"97,576,100"
"Aug 04, 2023",185.52,187.38,181.92,181.99,181.27,"115,799,700"
"Aug 03, 2023",191.57,192.37,190.69,191.17,190.42,"61,235,200"
"Aug 02, 2023",195.04,195.18,191.85,192.58,191.82,"50,389,300"
"Aug 01, 2023",196.24,196.73,195.28,195.61,194.84,"35,175,100"
"Jul 31, 2023",196.06,196.49,195.26,196.45,195.68,"38,824,100"
"Jul 28, 2023",194.67,196.63,194.14,195.83,195.06,"48,291,400"
"Jul 27, 2023",196.02,197.2,192.55,193.22,192.46,"47,460,200"
"Jul 26, 2023",193.67,195.64,193.32,194.5,193.73,"47,471,900"
"Jul 25, 2023",193.33,194.44,192.92,193.62,192.86,"37,283,200"
"Jul 24, 2023",193.41,194.91,192.25,192.75,191.99,"45,377,800"
"Jul 21, 2023",194.1,194.97,191.23,191.94,191.18,"71,917,800"
"Jul 20, 2023",195.09,196.47,192.5,193.13,192.37,"59,581,200"
"Jul 19, 2023",193.1,198.23,192.65,195.1,194.33,"80,507,300"
"Jul 18, 2023",193.35,194.33,192.42,193.73,192.97,"48,353,800"
"Jul 17, 2023",191.9,194.32,191.81,193.99,193.23,"50,520,200"
"Jul 14, 2023",190.23,191.18,189.63,190.69,189.94,"41,573,900"
"Jul 13, 2023",190.5,191.19,189.78,190.54,189.79,"41,342,300"
"Jul 12, 2023",189.68,191.7,188.47,189.77,189.02,"60,750,200"
"Jul 11, 2023",189.16,189.3,186.6,188.08,187.34,"46,638,100"
"Jul 10, 2023",189.26,189.99,187.04,188.61,187.87,"59,922,200"
"Jul 07, 2023",191.41,192.67,190.24,190.68,189.93,"46,778,000"
"Jul 06, 2023",189.84,192.02,189.2,191.81,191.06,"45,094,300"
"Jul 05, 2023",191.57,192.98,190.62,191.33,190.58,"46,920,300"
"Jul 03, 2023",193.78,193.88,191.76,192.46,191.7,"31,458,200"
"Jun 30, 2023",191.63,194.48,191.26,193.97,193.21,"85,069,600"
"Jun 29, 2023",189.08,190.07,188.94,189.59,188.84,"46,347,300"
"Jun 28, 2023",187.93,189.9,187.6,189.25,188.51,"51,216,800"
"Jun 27, 2023",185.89,188.39,185.67,188.06,187.32,"50,730,800"
"Jun 26, 2023",186.83,188.05,185.23,185.27,184.54,"48,088,700"
"Jun 23, 2023",185.55,187.56,185.01,186.68,185.95,"53,079,300"
"Jun 22, 2023",183.74,187.05,183.67,187,186.26,"51,245,300"
