Date,Open,High,Low,Close,AClose,Volume
"Dec 29, 2023","4,782.88","4,788.43","4,751.99","4,769.83","4,769.83","3,126,060,000"
"Dec 28, 2023","4,786.44","4,793.30","4,780.98","4,783.35","4,783.35","2,698,860,000"
"Dec 27, 2023","4,773.45","4,785.39","4,768.90","4,781.58","4,781.58","2,748,450,000"
"Dec 26, 2023","4,758.86","4,784.72","4,758.45","4,774.75","4,774.75","2,513,910,000"
"Dec 22, 2023","4,753.92","4,772.94","4,736.77","4,754.63","4,754.63","3,046,770,000"
"Dec 21, 2023","4,724.29","4,748.71","4,708.35","4,746.75","4,746.75","3,431,180,000"
"Dec 20, 2023","4,764.73","4,778.01","4,697.82","4,698.35","4,698.35","4,201,320,000"
"Dec 19, 2023","4,743.72","4,768.69","4,743.72","4,768.37","4,768.37","4,026,970,000"
"Dec 18, 2023","4,725.58","4,749.52","4,725.58","4,740.56","4,740.56","4,060,340,000"
"Dec 15, 2023","4,714.23","4,725.53","4,704.69","4,719.19","4,719.19","8,218,980,000"
"Dec 14, 2023","4,721.04","4,738.57","4,694.34","4,719.55","4,719.55","6,314,040,000"
"Dec 13, 2023","4,646.20","4,709.69","4,643.23","4,707.09","4,707.09","5,063,650,000"
"Dec 12, 2023","4,618.30","4,643.93","4,608.09","4,643.70","4,643.70","3,808,380,000"
"Dec 11, 2023","4,593.39","4,623.71","4,593.39","4,622.44","4,622.44","3,823,210,000"
"Dec 08, 2023","4,576.20","4,609.23","4,574.06","4,604.37","4,604.37","3,707,010,000"
"Dec 07, 2023","4,568.84","4,590.92","4,565.22","4,585.59","4,585.59","3,818,880,000"
"Dec 06, 2023","4,586.23","4,590.74","4,546.50","4,549.34","4,549.34","4,245,680,000"
"Dec 05, 2023","4,557.25","4,578.56","4,551.68","4,567.18","4,567.18","3,909,950,000"
"Dec 04, 2023","4,564.37","4,572.37","4,546.72","4,569.78","4,569.78","4,369,910,000"
"Dec 01, 2023","4,559.43","4,599.39","4,554.71","4,594.63","4,594.63","4,397,120,000"
"Nov 30, 2023","4,554.87","4,569.89","4,537.24","4,567.80","4,567.80","5,399,300,000"
"Nov 29, 2023","4,571.84","4,587.64","4,547.15","4,550.58","4,550.58","4,418,760,000"
"Nov 28, 2023","4,545.55","4,568.14","4,540.51","4,554.89","4,554.89","3,586,240,000"
"Nov 27, 2023","4,554.86","4,560.52","4,546.32","4,550.43","4,550.43","3,403,990,000"
"Nov 24, 2023","4,555.84","4,560.31","4,552.80","4,559.34","4,559.34","1,639,500,000"
"Nov 22, 2023","4,553.04","4,568.43","4,545.05","4,556.62","4,556.62","3,042,810,000"
"Nov 21, 2023","4,538.77","4,542.14","4,525.51","4,538.19","4,538.19","3,511,080,000"
"Nov 20, 2023","4,511.70","4,557.11","4,510.36","4,547.38","4,547.38","3,644,790,000"
"Nov 17, 2023","4,509.55","4,520.12","4,499.66","4,514.02","4,514.02","3,777,240,000"
"Nov 16, 2023","4,497.08","4,511.99","4,487.83","4,508.24","4,508.24","3,964,520,000"
"Nov 15, 2023","4,505.30","4,521.17","4,495.31","4,502.88","4,502.88","4,347,170,000"
"Nov 14, 2023","4,458.97","4,508.67","4,458.97","4,495.70","4,495.70","4,700,350,000"
"Nov 13, 2023","4,406.66","4,421.76","4,393.82","4,411.55","4,411.55","3,326,240,000"
"Nov 10, 2023","4,364.15","4,418.03","4,353.34","4,415.24","4,415.24","3,665,080,000"
"Nov 09, 2023","4,391.41","4,393.40","4,343.94","4,347.35","4,347.35","3,900,780,000"
"Nov 08, 2023","4,384.37","4,391.20","4,359.76","4,382.78","4,382.78","3,729,510,000"
"Nov 07, 2023","4,366.21","4,386.26","4,355.41","4,378.38","4,378.38","3,791,230,000"
"Nov 06, 2023","4,364.27","4,372.21","4,347.53","4,365.98","4,365.98","3,656,340,000"
"Nov 03, 2023","4,334.23","4,373.62","4,334.23","4,358.34","4,358.34","4,570,960,000"
"Nov 02, 2023","4,268.26","4,319.72","4,268.26","4,317.78","4,317.78","4,669,780,000"
"Nov 01, 2023","4,201.27","4,245.64","4,197.74","4,237.86","4,237.86","4,224,900,000"
