Date,Open,High,Low,Close,AClose,Volume
"Dec 29, 2023",358.99,360,351.82,353.96,353.58,"14,980,500"
"Dec 28, 2023",359.7,361.9,357.81,358.32,357.94,"11,798,800"
"Dec 27, 2023",356.07,359,355.31,357.83,357.45,"13,207,900"
"Dec 26, 2023",354.99,356.98,353.45,354.83,354.45,"9,898,600"
"Dec 22, 2023",355.58,357.2,351.22,353.39,353.02,"11,764,200"
"Dec 21, 2023",352.98,356.41,349.21,354.09,353.71,"15,289,600"
"Dec 20, 2023",348.65,354.96,347.79,349.28,348.91,"16,369,900"
"Dec 19, 2023",345.58,353.6,345.12,350.36,349.99,"17,729,400"
"Dec 18, 2023",337.48,347.56,337.02,344.62,344.25,"18,993,900"
"Dec 15, 2023",331.99,338.66,331.22,334.92,334.57,"30,001,600"
"Dec 14, 2023",333.85,334.7,328.64,333.17,332.82,"19,607,300"
"Dec 13, 2023",333.93,338.37,332.64,334.74,334.39,"16,353,300"
"Dec 12, 2023",324.6,334.47,324.56,334.22,333.87,"18,485,500"
"Dec 11, 2023",329.4,329.89,320,325.28,324.94,"25,802,500"
"Dec 08, 2023",323.09,333.17,323,332.75,332.4,"14,077,500"
"Dec 07, 2023",317.77,328.24,317.77,326.59,326.24,"15,905,100"
"Dec 06, 2023",321.93,322.25,317.04,317.45,317.11,"11,294,300"
"Dec 05, 2023",318.98,321.88,315.39,318.29,317.95,"16,952,100"
"Dec 04, 2023",317.29,320.86,313.66,320.02,319.68,"19,037,100"
"Dec 01, 2023",325.48,326.86,320.76,324.82,324.48,"15,264,700"
"Nov 30, 2023",331.89,333.5,322.4,327.15,326.8,"23,146,400"
"Nov 29, 2023",339.69,339.9,330.78,332.2,331.85,"16,024,500"
"Nov 28, 2023",333.4,339.38,333.4,338.99,338.63,"12,637,200"
"Nov 27, 2023",336.18,339.9,334.2,334.7,334.35,"15,684,500"
"Nov 24, 2023",340.13,341.86,336.77,338.23,337.87,"5,467,500"
"Nov 22, 2023",339.21,342.92,338.58,341.49,341.13,"10,702,700"
"Nov 21, 2023",338.33,339.9,335.9,336.98,336.62,"12,027,900"
"Nov 20, 2023",334.89,341.87,334.19,339.97,339.61,"16,960,500"
"Nov 17, 2023",330.26,335.5,329.35,335.04,334.68,"14,494,400"
"Nov 16, 2023",329.37,334.58,326.38,334.19,333.84,"18,932,600"
