Date,Open,High,Low,Close,AClose,Volume
"Dec 29, 2023",376,377.16,373.48,376.04,375.35,"18,723,000"
"Dec 28, 2023",375.37,376.46,374.16,375.28,374.59,"14,327,000"
"Dec 27, 2023",373.69,375.06,372.81,374.07,373.38,"14,905,400"
"Dec 26, 2023",375,376.94,373.5,374.66,373.97,"12,673,100"
"Dec 22, 2023",373.68,375.18,372.71,374.58,373.89,"17,091,100"
"Dec 21, 2023",372.56,374.41,370.04,373.54,372.85,"17,708,000"
"Dec 20, 2023",375,376.03,370.53,370.62,369.94,"26,316,700"
"Dec 19, 2023",371.49,373.26,369.84,373.26,372.57,"20,603,700"
"Dec 18, 2023",369.45,373,368.68,372.65,371.96,"21,802,900"
"Dec 15, 2023",366.85,372.4,366.28,370.73,370.05,"78,478,200"
"Dec 14, 2023",373.31,373.76,364.13,365.93,365.25,"43,277,500"
"Dec 13, 2023",376.02,377.64,370.77,374.37,373.68,"30,955,500"
"Dec 12, 2023",370.85,374.42,370.46,374.38,373.69,"24,838,300"
"Dec 11, 2023",368.48,371.6,366.1,371.3,370.61,"27,708,800"
"Dec 08, 2023",369.2,374.46,368.23,374.23,373.54,"20,144,800"
"Dec 07, 2023",368.23,371.45,366.32,370.95,370.27,"23,118,900"
"Dec 06, 2023",373.54,374.18,368.03,368.8,368.12,"21,182,100"
"Dec 05, 2023",366.45,373.08,365.62,372.52,371.83,"23,065,000"
"Dec 04, 2023",369.1,369.52,362.9,369.14,368.46,"32,063,300"
"Dec 01, 2023",376.76,378.16,371.31,374.51,373.82,"33,020,400"
"Nov 30, 2023",378.49,380.09,375.47,378.91,378.21,"30,554,400"
"Nov 29, 2023",383.76,384.3,377.44,378.85,378.15,"28,963,400"
"Nov 28, 2023",378.35,383,378.16,382.7,381.99,"20,453,100"
"Nov 27, 2023",376.78,380.64,376.2,378.61,377.91,"22,179,200"
"Nov 24, 2023",377.33,377.97,375.14,377.43,376.73,"10,176,600"
"Nov 22, 2023",378,379.79,374.97,377.85,377.15,"23,345,300"
"Nov 21, 2023",375.67,376.22,371.12,373.07,372.38,"28,423,100"
"Nov 20, 2023",371.22,378.87,371,377.44,376.74,"52,465,100"
"Nov 17, 2023",373.61,374.37,367,369.85,369.17,"40,157,000"
"Nov 16, 2023",370.96,376.35,370.18,376.17,375.48,"27,182,300"
"Nov 15, 2023",371.28,373.13,367.11,369.67,368.99,"26,860,100"
"Nov 14, 2023",371.01,371.95,367.35,370.27,368.84,"27,683,900"
"Nov 13, 2023",368.22,368.47,365.9,366.68,365.26,"19,986,500"
"Nov 10, 2023",361.49,370.1,361.07,369.67,368.24,"28,042,100"
"Nov 09, 2023",362.3,364.79,360.36,360.69,359.29,"24,847,300"
"Nov 08, 2023",361.68,363.87,360.55,363.2,361.8,"26,767,800"
"Nov 07, 2023",359.4,362.46,357.63,360.53,359.14,"25,833,900"
"Nov 06, 2023",353.45,357.54,353.35,356.53,355.15,"23,828,300"
"Nov 03, 2023",349.63,354.39,347.33,352.8,351.44,"23,624,000"
"Nov 02, 2023",347.24,348.83,344.77,348.32,346.97,"24,348,100"
"Nov 01, 2023",339.79,347.42,339.65,346.07,344.73,"28,158,800"
"Oct 31, 2023",338.85,339,334.69,338.11,336.8,"20,265,300"
"Oct 30, 2023",333.41,339.45,331.83,337.31,336.01,"22,828,100"
"Oct 27, 2023",330.43,336.72,328.4,329.81,328.53,"29,856,500"
"Oct 26, 2023",340.54,341.63,326.94,327.89,326.62,"37,828,500"
"Oct 25, 2023",345.02,346.2,337.62,340.67,339.35,"55,053,800"
"Oct 24, 2023",331.3,331.84,327.6,330.53,329.25,"31,153,600"
"Oct 23, 2023",325.47,332.73,324.39,329.32,328.05,"24,374,700"
"Oct 20, 2023",331.72,331.92,325.45,326.67,325.41,"25,012,600"
"Oct 19, 2023",332.15,336.88,330.91,331.32,330.04,"25,052,100"
"Oct 18, 2023",332.49,335.59,328.3,330.11,328.83,"23,153,600"
"Oct 17, 2023",329.59,333.46,327.41,332.06,330.78,"18,338,500"
"Oct 16, 2023",331.05,336.14,330.6,332.64,331.35,"22,158,000"
"Oct 13, 2023",332.38,333.83,326.36,327.73,326.46,"21,072,400"
"Oct 12, 2023",330.57,333.63,328.72,331.16,329.88,"19,313,100"
"Oct 11, 2023",331.21,332.82,329.14,332.42,331.13,"20,063,200"
"Oct 10, 2023",330.96,331.1,327.67,328.39,327.12,"20,557,100"
"Oct 09, 2023",324.75,330.3,323.18,329.82,328.54,"19,891,200"
"Oct 06, 2023",316.55,329.19,316.3,327.26,325.99,"25,645,500"
"Oct 05, 2023",319.09,319.98,314.9,319.36,318.12,"16,965,600"
"Oct 04, 2023",314.03,320.04,314,318.96,317.73,"20,720,100"
"Oct 03, 2023",320.83,321.39,311.21,313.39,312.18,"21,033,500"
"Oct 02, 2023",316.28,321.89,315.18,321.8,320.56,"20,570,000"
"Sep 29, 2023",317.75,319.47,314.98,315.75,314.53,"24,140,300"
"Sep 28, 2023",310.99,315.48,309.45,313.64,312.43,"19,683,600"
"Sep 27, 2023",312.3,314.3,309.69,312.79,311.58,"19,410,100"
"Sep 26, 2023",315.13,315.88,310.02,312.14,310.93,"26,297,600"
"Sep 25, 2023",316.59,317.67,315,317.54,316.31,"17,836,000"
"Sep 22, 2023",321.32,321.45,316.15,317.01,315.78,"21,447,900"
"Sep 21, 2023",319.26,325.35,315,319.53,318.29,"35,529,500"
"Sep 20, 2023",329.51,329.59,320.51,320.77,319.53,"21,436,500"
"Sep 19, 2023",326.17,329.39,324.51,328.65,327.38,"16,505,900"
"Sep 18, 2023",327.8,330.4,326.36,329.06,327.79,"16,834,200"
"Sep 15, 2023",336.92,337.4,329.65,330.22,328.94,"37,666,900"
"Sep 14, 2023",339.15,340.86,336.57,338.7,337.39,"20,267,000"
"Sep 13, 2023",331.31,336.85,331.17,336.06,334.76,"16,544,400"
"Sep 12, 2023",335.82,336.79,331.48,331.77,330.49,"17,565,500"
"Sep 11, 2023",337.24,338.42,335.43,337.94,336.63,"16,583,300"
"Sep 08, 2023",330.09,336.16,329.46,334.27,332.98,"19,530,100"
"Sep 07, 2023",331.29,333.08,329.03,329.91,328.63,"18,381,000"
"Sep 06, 2023",333.38,334.46,330.18,332.88,331.59,"17,535,800"
"Sep 05, 2023",329,334.85,328.66,333.55,332.26,"18,553,900"
"Sep 01, 2023",331.31,331.99,326.78,328.66,327.39,"14,931,200"
"Aug 31, 2023",329.2,330.91,326.78,327.76,326.49,"26,411,000"
"Aug 30, 2023",328.67,329.81,326.45,328.79,327.52,"15,222,100"
"Aug 29, 2023",321.88,328.98,321.88,328.41,327.14,"19,284,600"
"Aug 28, 2023",325.66,326.15,321.72,323.7,322.45,"14,808,500"
"Aug 25, 2023",321.47,325.36,318.8,322.98,321.73,"21,684,100"
"Aug 24, 2023",332.85,332.98,319.96,319.97,318.73,"23,281,400"
"Aug 23, 2023",323.82,329.2,323.46,327,325.74,"21,166,400"
